"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"131","1929-01-26","Montreal Canadiens","2","Ottawa Senators","1","","","",""
"132","1929-01-26","Chicago Black Hawks","0","Toronto Maple Leafs","2","","","",""
"133","1929-01-27","New York Americans","2","Detroit Cougars","1","","","",""
"134","1929-01-27","Boston Bruins","2","New York Rangers","1","","","",""
"135","1929-01-29","Chicago Black Hawks","1","Boston Bruins","4","","","",""
"136","1929-01-29","Montreal Canadiens","1","New York Americans","0","","","",""
"137","1929-01-29","Toronto Maple Leafs","2","Ottawa Senators","4","OT","","",""
"138","1929-01-31","Chicago Black Hawks","0","Montreal Maroons","2","","","",""
"139","1929-01-31","New York Americans","1","New York Rangers","2","","","",""
"140","1929-01-31","Boston Bruins","3","Toronto Maple Leafs","1","","","",""
"141","1929-02-02","Toronto Maple Leafs","3","Boston Bruins","0","","","",""
"142","1929-02-02","Ottawa Senators","0","Montreal Canadiens","1","","","",""
"143","1929-02-02","Montreal Maroons","0","Pittsburgh Pirates","0","OT","","",""
"144","1929-02-03","New York Rangers","3","Chicago Black Hawks","2","","","","at Detroit, MI"
"145","1929-02-03","Toronto Maple Leafs","3","New York Americans","1","","","",""
"146","1929-02-05","New York Americans","1","Boston Bruins","0","","","",""
"147","1929-02-05","Chicago Black Hawks","1","Detroit Cougars","0","","","",""
"148","1929-02-05","Montreal Maroons","1","New York Rangers","1","OT","","",""
"149","1929-02-05","Toronto Maple Leafs","0","Pittsburgh Pirates","0","OT","","",""
"150","1929-02-07","Detroit Cougars","2","Montreal Canadiens","2","OT","","",""
"151","1929-02-07","Chicago Black Hawks","0","New York Americans","1","","","",""
"152","1929-02-07","New York Rangers","1","Ottawa Senators","2","","","",""
"153","1929-02-09","Boston Bruins","0","Montreal Maroons","1","","","",""
"154","1929-02-09","Detroit Cougars","2","Ottawa Senators","0","","","",""
"155","1929-02-09","Pittsburgh Pirates","1","Toronto Maple Leafs","2","","","",""
"156","1929-02-10","New York Americans","1","Chicago Black Hawks","0","","","","at Fort Erie, ON"
"157","1929-02-10","Pittsburgh Pirates","0","Detroit Cougars","3","","","",""
"158","1929-02-10","Montreal Canadiens","3","New York Rangers","3","OT","","",""
"159","1929-02-12","Detroit Cougars","0","Boston Bruins","1","","","",""
"160","1929-02-12","Montreal Maroons","1","Ottawa Senators","2","","","",""
"161","1929-02-12","Montreal Canadiens","2","Pittsburgh Pirates","0","","","",""
"162","1929-02-14","Montreal Canadiens","1","Chicago Black Hawks","0","","","","at Fort Erie, ON"
"163","1929-02-14","Ottawa Senators","0","Montreal Maroons","4","","","",""
"164","1929-02-14","Detroit Cougars","1","New York Americans","1","OT","","",""
"165","1929-02-14","Boston Bruins","0","Pittsburgh Pirates","2","","","",""
"166","1929-02-14","New York Rangers","1","Toronto Maple Leafs","3","","","",""
"167","1929-02-16","New York Americans","1","Montreal Canadiens","1","OT","","",""
"168","1929-02-16","Ottawa Senators","2","Pittsburgh Pirates","1","OT","","",""
"169","1929-02-16","Montreal Maroons","0","Toronto Maple Leafs","3","","","",""
"170","1929-02-17","Boston Bruins","3","Chicago Black Hawks","0","","","","at Fort Erie, ON"
"171","1929-02-17","Toronto Maple Leafs","0","Detroit Cougars","2","","","",""
"172","1929-02-17","Pittsburgh Pirates","1","New York Rangers","2","","","",""
"173","1929-02-19","Pittsburgh Pirates","0","Boston Bruins","1","","","",""
"174","1929-02-19","Ottawa Senators","2","Detroit Cougars","1","","","",""
"175","1929-02-19","Montreal Maroons","1","New York Americans","0","","","",""
"176","1929-02-21","Ottawa Senators","3","Chicago Black Hawks","0","","","","at Detroit, MI"
"177","1929-02-21","Montreal Maroons","0","Montreal Canadiens","1","","","",""
"178","1929-02-21","Detroit Cougars","1","New York Rangers","0","","","",""
"179","1929-02-21","New York Americans","4","Pittsburgh Pirates","2","","","",""
"180","1929-02-23","New York Rangers","1","Montreal Maroons","9","","","",""
"181","1929-02-23","Pittsburgh Pirates","0","Ottawa Senators","3","","","",""
"182","1929-02-23","Montreal Canadiens","1","Toronto Maple Leafs","2","","","",""
"183","1929-02-24","Detroit Cougars","0","Chicago Black Hawks","0","OT","","","at Detroit, MI"
"184","1929-02-24","Boston Bruins","2","New York Americans","2","OT","","",""
"185","1929-02-26","Montreal Maroons","0","Boston Bruins","1","","","",""
"186","1929-02-26","Chicago Black Hawks","0","Detroit Cougars","3","","","",""
"187","1929-02-26","Pittsburgh Pirates","0","Montreal Canadiens","4","","","",""
"188","1929-02-26","Ottawa Senators","0","New York Rangers","2","","","",""
"189","1929-02-28","New York Rangers","0","Chicago Black Hawks","0","OT","","","at Detroit, MI"
"190","1929-02-28","Toronto Maple Leafs","4","Montreal Maroons","0","","","",""
"191","1929-02-28","Montreal Canadiens","0","New York Americans","0","OT","","",""
"192","1929-02-28","Boston Bruins","4","Ottawa Senators","0","","","",""
"193","1929-03-02","Montreal Maroons","1","Chicago Black Hawks","2","","","","at Windsor, ON"
"194","1929-03-02","Boston Bruins","0","Montreal Canadiens","3","","","",""
"195","1929-03-02","Detroit Cougars","4","Pittsburgh Pirates","3","OT","","",""
"196","1929-03-02","Ottawa Senators","1","Toronto Maple Leafs","1","OT","","",""
"197","1929-03-03","New York Rangers","3","Detroit Cougars","2","","","",""
"198","1929-03-05","New York Rangers","1","Boston Bruins","2","","","",""
"199","1929-03-05","Montreal Maroons","1","Detroit Cougars","3","","","",""
"200","1929-03-05","New York Americans","1","Ottawa Senators","1","OT","","",""
"201","1929-03-05","Chicago Black Hawks","2","Pittsburgh Pirates","3","OT","","",""
"202","1929-03-07","Toronto Maple Leafs","1","Chicago Black Hawks","1","OT","","","at Fort Erie, ON"
"203","1929-03-07","Ottawa Senators","0","Montreal Canadiens","3","","","",""
