"","Date","Visitor","G","Home","G","","Att.","LOG","Notes"
"142","1978-01-01","Houston Aeros","2","Edmonton Oilers","1","","","",""
"143","1978-01-03","Soviet All-Stars","3","Quebec Nordiques","3","","","",""
"144","1978-01-04","Houston Aeros","3","Cincinnati Stingers","5","","","",""
"145","1978-01-04","Birmingham Bulls","1","Indianapolis Racers","4","","","",""
"146","1978-01-04","Quebec Nordiques","6","New England Whalers","4","","","",""
"147","1978-01-06","Houston Aeros","4","Birmingham Bulls","6","","","",""
"148","1978-01-06","Quebec Nordiques","3","Cincinnati Stingers","5","","","",""
"149","1978-01-06","Winnipeg Jets","4","Edmonton Oilers","1","","","",""
"150","1978-01-06","New England Whalers","3","Indianapolis Racers","4","","","",""
"151","1978-01-07","Indianapolis Racers","2","Houston Aeros","1","OT","","",""
"152","1978-01-07","Cincinnati Stingers","3","New England Whalers","5","","","",""
"153","1978-01-08","Edmonton Oilers","4","Houston Aeros","2","","","",""
"154","1978-01-08","Birmingham Bulls","5","New England Whalers","4","","","",""
"155","1978-01-08","Indianapolis Racers","2","Winnipeg Jets","4","","","",""
"156","1978-01-10","Birmingham Bulls","4","Quebec Nordiques","6","","","",""
"157","1978-01-11","Edmonton Oilers","2","Cincinnati Stingers","0","","","",""
"158","1978-01-11","Quebec Nordiques","1","Indianapolis Racers","2","","","",""
"159","1978-01-11","Birmingham Bulls","2","Winnipeg Jets","11","","","",""
"160","1978-01-13","Winnipeg Jets","2","Houston Aeros","3","","","",""
"161","1978-01-13","Edmonton Oilers","0","New England Whalers","2","","","",""
"162","1978-01-14","Birmingham Bulls","4","Cincinnati Stingers","3","","","",""
"163","1978-01-14","Winnipeg Jets","6","Indianapolis Racers","3","","","",""
"164","1978-01-14","Houston Aeros","5","New England Whalers","4","OT","","",""
"165","1978-01-14","Edmonton Oilers","4","Quebec Nordiques","7","","","",""
"166","1978-01-15","Cincinnati Stingers","6","Quebec Nordiques","3","","","",""
"167","1978-01-15","Edmonton Oilers","4","Winnipeg Jets","3","OT","","",""
"168","1978-01-18","Cincinnati Stingers","0","Birmingham Bulls","3","","","",""
"169","1978-01-18","New England Whalers","0","Edmonton Oilers","1","","","",""
"170","1978-01-18","Quebec Nordiques","1","Winnipeg Jets","5","","","",""
"171","1978-01-20","Edmonton Oilers","3","Birmingham Bulls","5","","","",""
"172","1978-01-20","Quebec Nordiques","8","Cincinnati Stingers","2","","","",""
"173","1978-01-20","Houston Aeros","4","Indianapolis Racers","3","","","",""
"174","1978-01-20","New England Whalers","4","Winnipeg Jets","4","","","",""
"175","1978-01-21","Cincinnati Stingers","2","Houston Aeros","5","","","",""
"176","1978-01-21","Edmonton Oilers","3","Indianapolis Racers","2","","","",""
"177","1978-01-21","New England Whalers","2","Quebec Nordiques","3","","","",""
"178","1978-01-22","Edmonton Oilers","2","Cincinnati Stingers","5","","","",""
"179","1978-01-22","Birmingham Bulls","2","Houston Aeros","4","","","",""
"180","1978-01-22","Quebec Nordiques","3","New England Whalers","6","","","",""
"181","1978-01-22","Indianapolis Racers","5","Winnipeg Jets","4","","","",""
"182","1978-01-24","Houston Aeros","6","Quebec Nordiques","5","","","",""
"183","1978-01-25","Winnipeg Jets","2","Birmingham Bulls","6","","","",""
"184","1978-01-25","New England Whalers","7","Cincinnati Stingers","8","OT","","",""
"185","1978-01-25","Indianapolis Racers","2","Edmonton Oilers","6","","","",""
"186","1978-01-26","Winnipeg Jets","1","Houston Aeros","2","OT","","",""
"187","1978-01-27","New England Whalers","6","Birmingham Bulls","2","","","",""
"188","1978-01-27","Quebec Nordiques","6","Edmonton Oilers","9","","","",""
"189","1978-01-28","Winnipeg Jets","5","Birmingham Bulls","8","","","",""
"190","1978-01-28","New England Whalers","3","Houston Aeros","0","","","",""
"191","1978-01-29","Winnipeg Jets","8","Cincinnati Stingers","4","","","",""
"192","1978-01-29","Quebec Nordiques","4","Edmonton Oilers","3","","","",""
"193","1978-01-29","New England Whalers","4","Houston Aeros","6","","","",""
"194","1978-01-30","Cincinnati Stingers","4","Indianapolis Racers","3","","","",""
"195","1978-01-31","Houston Aeros","4","Birmingham Bulls","2","","","",""
"196","1978-01-31","Edmonton Oilers","6","Indianapolis Racers","4","","","",""
"197","1978-01-31","Winnipeg Jets","7","Quebec Nordiques","2","","","",""
"198","1978-02-01","Indianapolis Racers","0","Cincinnati Stingers","8","","","",""
"199","1978-02-01","Edmonton Oilers","3","New England Whalers","4","","","",""
"200","1978-02-02","Quebec Nordiques","4","Birmingham Bulls","2","","","",""
"201","1978-02-03","Houston Aeros","0","Cincinnati Stingers","1","","","",""
"202","1978-02-03","Quebec Nordiques","4","Indianapolis Racers","5","OT","","",""
"203","1978-02-03","Edmonton Oilers","6","New England Whalers","3","","","",""
"204","1978-02-04","Indianapolis Racers","2","Birmingham Bulls","5","","","",""
"205","1978-02-04","Winnipeg Jets","7","Cincinnati Stingers","5","","","",""
"206","1978-02-04","New England Whalers","4","Houston Aeros","5","","","",""
"207","1978-02-04","Edmonton Oilers","4","Quebec Nordiques","3","OT","","",""
"208","1978-02-05","Birmingham Bulls","1","Indianapolis Racers","6","","","",""
"209","1978-02-05","Edmonton Oilers","3","Winnipeg Jets","4","","","",""
"210","1978-02-07","Birmingham Bulls","3","Quebec Nordiques","8","","","",""
"211","1978-02-08","Cincinnati Stingers","6","Edmonton Oilers","6","","","",""
"212","1978-02-08","Birmingham Bulls","0","Winnipeg Jets","9","","","",""
"213","1978-02-09","Quebec Nordiques","1","Houston Aeros","2","","","",""
"214","1978-02-10","Cincinnati Stingers","2","Winnipeg Jets","10","","","",""
"215","1978-02-11","New England Whalers","8","Cincinnati Stingers","7","","","",""
"216","1978-02-11","Quebec Nordiques","4","Houston Aeros","8","","","",""
"217","1978-02-11","Winnipeg Jets","5","Indianapolis Racers","3","","","",""
"218","1978-02-12","Quebec Nordiques","2","Cincinnati Stingers","8","","","",""
"219","1978-02-12","Birmingham Bulls","0","Edmonton Oilers","7","","","",""
"220","1978-02-12","Winnipeg Jets","6","Houston Aeros","5","","","",""
"221","1978-02-14","Birmingham Bulls","1","Edmonton Oilers","4","","","",""
"222","1978-02-14","Quebec Nordiques","1","New England Whalers","5","","","",""
"223","1978-02-15","Houston Aeros","5","Cincinnati Stingers","2","","","",""
"224","1978-02-15","Quebec Nordiques","6","Indianapolis Racers","9","","","",""
